Date,Open,High,Low,Close,Volume,Adj Close
1996-01-02,2271.399902,2471.699951,2271.399902,2470.100098,000,2470.100098
1995-12-01,2259.399902,2289.899902,2232.50,2253.899902,000,2253.899902
1995-11-01,2157.899902,2256.00,2154.300049,2242.800049,000,2242.800049
1995-10-02,2205.399902,2219.300049,2096.100098,2167.899902,000,2167.899902
1995-09-01,2233.399902,2320.199951,2163.199951,2187.00,000,2187.00
1995-08-01,2222.300049,2277.399902,2208.199951,2238.300049,000,2238.300049
1995-07-03,2083.399902,2243.600098,2081.800049,2218.699951,000,2218.699951
1995-06-01,2118.300049,2155.800049,2081.699951,2083.899902,000,2083.899902
1995-05-02,2029.599976,2110.699951,2015.900024,2092.199951,000,2092.199951
1995-04-03,1915.099976,2030.699951,1914.099976,2015.900024,000,2015.900024
1995-03-01,2114.50,2130.399902,1893.599976,1922.599976,000,1922.599976
1995-02-01,2037.699951,2145.699951,2037.699951,2102.199951,000,2102.199951
1995-01-02,2084.100098,2092.199951,2017.800049,2021.300049,000,2021.300049
1994-12-01,2051.100098,2113.899902,2009.50,2106.600098,000,2106.600098
1994-11-01,2062.00,2114.399902,2033.00,2048.300049,000,2048.300049
1994-10-04,1991.800049,2146.600098,1953.199951,2071.600098,000,2071.600098
1994-09-01,2203.00,2211.899902,2005.599976,2011.800049,000,2011.800049
1994-08-01,2150.899902,2218.600098,2086.899902,2212.899902,000,2212.899902
1994-07-01,2030.300049,2158.399902,2027.400024,2146.600098,000,2146.600098
1994-06-01,2131.899902,2167.50,1959.800049,2025.300049,000,2025.300049
1994-05-02,2261.00,2282.600098,2107.899902,2127.699951,000,2127.699951
1994-04-05,2134.100098,2263.699951,2134.100098,2246.00,000,2246.00
1994-03-01,2090.50,2188.100098,1992.699951,2133.100098,000,2133.100098
1994-02-01,2183.50,2198.199951,2065.50,2091.600098,000,2091.600098
1994-01-03,2241.699951,2268.899902,2035.800049,2177.50,000,2177.50
1993-12-01,2072.699951,2284.600098,2072.699951,2266.699951,000,2266.699951
1993-11-01,2064.699951,2101.600098,2003.800049,2057.800049,000,2057.800049
1993-10-01,1912.900024,2075.699951,1910.00,2069.00,000,2069.00
1993-09-01,1938.400024,1943.099976,1852.00,1915.699951,000,1915.699951
1993-08-02,1795.400024,1946.400024,1795.400024,1944.900024,000,1944.900024
